,Trailing P/E,Forward P/E,PEG,Price/Book,Beta,Dividend Yield
AMZN,74.8,53.71,1.34,16.55,1.57,
ARCH,4.72,7.59,,2.01,,0.0212
BA,40.36,15.47,3.75,,1.27,0.0239
BAX,30.26,20.96,2.82,5.16,1.01,0.0111
CELH,49.58,270.77,,8.19,0.93,
CL,25.12,22.73,15.78,,0.73,0.0252
FMS,8.88,12.37,1.87,1.54,,0.020099999999999996
GD,15.47,13.36,1.75,3.91,1.17,0.023399999999999997
GSK,18.69,14.43,1.83,23.41,0.69,0.042300000000000004
IAU,,0.14,,,,
LMT,18.4,14.78,1.25,37.1,0.96,0.0256
LVMUY,,,,,,
MDR,,1.28,,0.58,3.18,
MINT,,0.02,,,,0.027000000000000003
MRK,22.26,15.06,2.48,7.69,0.55,0.026600000000000002
MU,8.63,8.83,,1.45,1.98,
NGG,20.84,13.93,3.31,1.61,0.46,0.052300000000000006
NLY,,8.23,,0.95,0.44,0.113
NOC,17.62,15.8,2.3,6.57,0.8,0.0148
PANW,,35.32,,13.36,0.98,
PXD,24.29,14.06,0.6,1.83,1.16,0.013600000000000001
RTN,19.52,16.36,1.58,4.84,0.88,0.0178
SHY,,0.14,,,,0.021099999999999997
SNAP,,0.01,,8.72,,
TLT,,1.6,,,,0.0225
TSLA,,73.69,,9.26,0.53,
UUP,,1.04,,,,0.0101
VIXY,,13.39,,,,
VZ,15.83,12.37,5.54,4.43,0.51,0.0406
WDC,,9.07,,1.76,1.86,0.0336
XOM,16.66,17.52,2.03,1.54,0.99,0.0504
