Date,AMZN,ARCH,BA,BAX,CELH,CL,FMS,GD,GSK,IAU,LMT,LVMUY,MDR,MINT,MRK,MU,NGG,NLY,NOC,PANW,PXD,RTN,SHY,SNAP,TLT,TSLA,UUP,VIXY,VZ,WDC,XOM,Portfolio Value
2019-01-02,12313.04,23984.589999999997,22156.399999999998,18656.64,8135.1,12307.14,11214.0,1383.03,39882.36,83246.40000000001,1298.25,9043.92,1231.52,145765.13,42009.03,1310.0,10674.960000000001,3804.52,18743.34,25832.61,1201.95,12900.45,204503.69999999998,579.0,50889.5,1240.48,12666.16,5619.0,40151.25,1334.8799999999999,16758.0,840836.3500000001
2019-01-03,12002.24,23054.71,21273.0,18423.36,8017.2,12249.63,10706.5,1348.83,39838.12,83990.88,1265.65,8678.94,1255.6,145809.44,41147.189999999995,1240.0,10727.4,3850.6099999999997,18252.850000000002,25337.699999999997,1205.82,12535.8,204927.0,568.0,51467.5,1201.44,12597.0,5883.0,40293.18,1243.8,16500.960000000003,836893.35
2019-01-04,12603.12,23789.43,22379.699999999997,18999.36,7970.04,12364.65,11641.0,1387.53,40667.62,83381.76,1299.8,8963.34,1317.52,145809.44,42388.920000000006,1308.0,10900.68,3854.7999999999997,18859.61,25998.989999999998,1246.59,12866.45,204478.80000000002,595.0,50872.5,1270.76,12577.24,5410.5,40390.29,1296.36,17110.800000000003,844000.6000000002
2019-01-07,13036.08,23327.36,22450.4,18907.2,8606.699999999999,12439.199999999999,11578.0,1395.27,40866.700000000004,83584.8,1314.7,9026.54,1400.0800000000002,145794.66999999998,41918.310000000005,1360.0,10898.4,3863.1800000000003,19006.68,26416.35,1273.68,13002.45,204354.3,621.0,50723.75,1339.84,12522.900000000001,5296.5,40651.74,1342.44,17199.0,845518.22
2019-01-08,13252.64,23404.85,23300.2,18855.36,8913.24,12577.65,11504.5,1395.36,41132.14,83381.76,1323.45,9276.18,1401.8,145809.44,42230.16,1349.6000000000001,11014.68,3771.0,19092.920000000002,26850.63,1272.6000000000001,13157.15,204229.8,640.0,50587.75,1341.4,12562.42,5185.5,41839.47,1329.48,17325.0,849308.13
2019-01-09,13275.36,24145.309999999998,23526.3,19177.920000000002,8842.5,12733.14,11938.5,1415.07,41275.92,83855.52,1326.75,9440.5,1417.28,145853.75,41906.97,1417.6,11071.68,3787.7599999999998,19183.01,27228.510000000002,1304.91,13217.5,204329.4,628.0,50511.25,1354.12,12443.86,5065.500000000001,41309.1,1388.16,17415.72,851786.8699999999
2019-01-10,13249.76,24306.03,24126.9,19232.64,9361.26,12841.77,11809.0,1428.48,41441.82,83381.76,1360.9,9340.96,1456.8400000000001,145883.29,41391.0,1436.3999999999999,11233.560000000001,3758.4300000000003,19602.66,27636.0,1299.8700000000001,13355.2,204354.3,622.0,50184.0,1379.88,12517.96,5013.0,41712.48,1388.8799999999999,17327.52,853434.55
2019-01-11,13124.48,24294.550000000003,24146.5,19088.64,9149.039999999999,12899.28,11780.999999999998,1440.6299999999999,41463.94,83517.12,1362.0,9230.36,1467.1599999999999,145927.6,41623.47,1440.3999999999999,11279.16,3825.4700000000003,19480.23,27631.77,1272.96,13321.2,204478.80000000002,628.0,50379.5,1389.04,12527.84,4849.5,42011.28,1396.8,17246.88,853674.6000000001
2019-01-14,12937.68,24165.4,23972.9,18892.8,8488.800000000001,12797.039999999999,11717.999999999998,1446.93,40656.56,83720.15999999999,1360.95,9010.74,1480.9199999999998,145957.13999999998,40772.97,1386.8000000000002,11060.279999999999,3863.1800000000003,19777.45,27485.13,1278.81,13433.4,204478.80000000002,631.0,50192.5,1337.6,12527.84,4869.0,42018.75,1328.04,17226.72,850274.2899999999
2019-01-15,13396.48,22790.67,24101.7,19298.88,8583.12,12924.84,11784.5,1434.78,41121.08,83584.8,1353.5,8977.56,1503.28,145971.91,41402.34,1359.6000000000001,11206.199999999999,3879.94,19699.68,28223.969999999998,1280.07,13402.800000000001,204528.6,654.0,50009.75,1377.72,12572.3,4650.0,42071.04,1314.72,17234.28,851694.11
2019-01-16,13470.24,22960.0,24089.1,19503.36,8535.960000000001,12905.67,11882.500000000002,1438.83,40446.42,83855.52,1335.8000000000002,8863.800000000001,1468.8799999999999,146016.22,41464.71,1343.1999999999998,11283.720000000001,3917.6499999999996,19456.36,28383.300000000003,1284.66,13339.050000000001,204478.80000000002,564.0,50060.75,1384.2,12587.12,4734.0,41331.51,1319.7599999999998,17229.24,850934.33
2019-01-17,13545.76,24271.589999999997,24570.0,19748.159999999996,8583.12,12877.98,11998.0,1465.7400000000002,41043.659999999996,83787.84000000001,1367.25,8832.199999999999,1499.8400000000001,146016.22,42014.7,1355.2,11263.199999999999,3921.8399999999997,20090.84,28665.300000000003,1282.23,13628.050000000001,204478.80000000002,574.0,50073.5,1389.24,12587.12,4686.0,41152.23,1272.6000000000001,17345.16,855387.37
2019-01-18,13569.6,24409.35,24956.399999999998,20180.159999999996,8701.02,13010.039999999999,12099.5,1491.03,41132.14,83043.36,1387.2,9004.42,1541.1200000000001,146104.84,42162.12,1430.3999999999999,11386.32,3934.4100000000003,20370.350000000002,28665.300000000003,1296.81,13843.1,204304.5,618.0,49810.0,1209.04,12626.64,4567.5,41338.98,1367.64,17551.800000000003,857113.0900000001
2019-01-22,13057.36,24306.03,24488.8,19903.68,8653.86,12912.06,12022.5,1479.06,41032.6,83246.40000000001,1371.15,9021.800000000001,1458.5600000000002,146134.38,42145.11,1354.8,11354.4,3942.79,20140.12,28623.0,1252.8,13701.15,204478.80000000002,593.0,50150.0,1195.68,12626.64,4986.0,41271.75,1310.3999999999999,17287.199999999997,855501.88
2019-01-23,13120.16,24420.83,24537.1,19897.920000000002,8229.42,13039.86,12078.5,1493.1000000000001,41143.200000000004,83178.72,1390.35,9137.14,1460.28,146163.91999999998,41923.979999999996,1369.6000000000001,11482.08,3967.9300000000003,20559.0,29006.52,1229.8500000000001,13826.1,204429.0,599.0,50128.75,1150.36,12597.0,4938.0,41824.53,1312.56,17146.08,856780.8400000001
