,Weight
AMZN,0.015205320741112397
ARCH,0.02422172821385665
BA,0.025454422914190533
BAX,0.023631382273681827
CELH,0.00887948418679935
CL,0.015631656141649648
FMS,0.013505649061734761
GD,0.0017022605875109788
GSK,0.05419034037723173
IAU,0.10469595841486076
LMT,0.0020148551976609964
LVMUY,0.014426530103545627
MDR,0.0002999282166381209
MINT,0.16080573881768204
MRK,0.05256576842965605
MU,0.0020347534171982666
NGG,0.014237240266721725
NLY,0.004025238644909854
NOC,0.02903531078130466
PANW,0.03429981267858919
PXD,0.0011844575649072433
RTN,0.01929683329464235
SHY,0.22628929229735642
SNAP,0.0016111139044692898
TLT,0.06421668947116738
TSLA,0.001347601569177872
UUP,0.014052272408765058
VIXY,0.002609234271580743
VZ,0.04832388524504229
WDC,0.001989180075677422
XOM,0.018216113920516242
