,Trailing P/E,Forward P/E,PEG,Price/Book,Beta,Dividend Yield
AMZN,93.93,46.68,1.54,20.96,1.63,
ARCH,5.79,7.71,,2.31,,0.0203
BA,21.36,16.3,0.97,646.98,1.33,0.0215
BAX,29.79,20.84,2.73,5.26,1.02,0.0098
CELH,,58.21,,16.96,0.88,
CL,24.3,22.91,6.85,,0.78,0.024900000000000002
FMS,11.37,15.51,1.41,1.92,1.4,0.015300000000000001
GD,15.47,13.37,1.87,4.34,1.12,0.0235
GSK,20.42,13.0,2.15,17.36,0.74,0.0593
IAU,,2.0,,,,
LMT,17.77,12.88,1.48,63.02,0.99,0.028399999999999998
LVMUY,,,,,,
MDR,,4.7,,2.32,2.73,
MINT,,0.05,,,,0.024700000000000003
MRK,33.33,14.79,3.4,7.6,0.65,0.028399999999999998
MU,4.01,9.06,,1.38,1.86,
NGG,8.15,12.98,1.29,1.42,0.45,0.058600000000000006
NLY,63.76,8.23,,1.07,0.34,0.1199
NOC,15.64,12.77,1.12,5.91,0.87,0.017
PANW,,38.05,,21.45,0.84,
PXD,30.09,17.74,0.65,2.42,1.0,0.0028000000000000004
RTN,17.97,13.86,0.71,4.52,0.99,0.0207
SHY,,0.07,,,,0.0187
SNAP,,0.11,,6.92,,
TLT,,0.44,,,,0.026000000000000002
TSLA,,35.1,,9.55,0.34,
UUP,,0.93,,,,0.0108
VIXY,,10.19,,,,
VZ,15.64,12.29,2.29,4.58,0.49,0.040999999999999995
WDC,18.84,10.26,,1.44,1.51,0.0368
XOM,16.65,14.81,0.99,1.81,0.91,0.0404
