,Weight
AMZN,0.01632113765018772
ARCH,0.027519830267006527
BA,0.029064066494523297
BAX,0.025354484800698893
CELH,0.010273884892484118
CL,0.01618431112647008
FMS,0.01606628363845469
GD,0.0017118496934041812
GSK,0.04986439009825443
IAU,0.09228223403020065
LMT,0.0017069286286955992
LVMUY,0.013513128458395307
MDR,0.001738478466412691
MINT,0.1657671276710329
MRK,0.04923946480700222
MU,0.0018498592810894795
NGG,0.01356727163228407
NLY,0.004642761961107395
NOC,0.02386077406680416
PANW,0.038703528357763306
PXD,0.0016694516054120106
RTN,0.017178875658669556
SHY,0.23088572189077558
SNAP,0.0013104275753772318
TLT,0.057798704252531
TSLA,0.0011783011108223624
UUP,0.01417617288133719
VIXY,0.0035331779803933496
VZ,0.04849839293253786
WDC,0.002064570390971873
XOM,0.022474994613423865
