Date,AMZN,ARCH,BA,BAX,CELH,CL,FMS,GD,GSK,IAU,LMT,LVMUY,MDR,MINT,MRK,MU,NGG,NLY,NOC,PANW,PXD,RTN,SHY,SNAP,TLT,TSLA,UUP,VIXY,VZ,WDC,XOM
2019-01-02,1539.13,83.57,318.36,64.78,3.45,57.78,32.04,153.67,36.46,12.3,259.65,57.24,7.16,98.89,74.09,32.75,46.82,9.08,243.42,183.21,133.55,151.77,82.27,5.79,119.95,310.12,25.64,37.46,53.75,37.08,67.31
2019-01-03,1500.28,80.33,305.67,63.97,3.4,57.51,30.59,149.87,36.41,12.41,253.13,54.93,7.3,98.92,72.57,31.0,47.05,9.19,237.05,179.7,133.98,147.48,82.44,5.68,121.31,300.36,25.5,39.22,53.94,34.55,66.27
2019-01-04,1575.39,82.89,321.58,65.97,3.38,58.05,33.26,154.17,37.18,12.32,259.96,56.73,7.66,98.92,74.76,32.7,47.81,9.2,244.93,184.39,138.51,151.37,82.26,5.95,119.91,317.69,25.46,36.07,54.07,36.01,68.72
2019-01-07,1629.51,81.28,322.59,65.65,3.65,58.4,33.08,155.03,37.36,12.35,262.94,57.13,8.14,98.91,73.93,34.0,47.8,9.22,246.84,187.35,141.52,152.97,82.2,6.21,119.56,334.96,25.35,35.31,54.42,37.29,69.07
2019-01-08,1656.58,81.55,334.8,65.47,3.78,59.05,32.87,155.04,37.6,12.32,264.69,58.71,8.15,98.92,74.48,33.74,48.31,9.0,247.96,190.43,141.4,154.79,82.15,6.4,119.24,335.35,25.43,34.57,56.01,36.93,69.58
2019-01-09,1659.42,84.13,338.05,66.59,3.75,59.78,34.11,157.23,37.73,12.39,265.35,59.75,8.24,98.95,73.91,35.44,48.56,9.04,249.13,193.11,144.99,155.5,82.19,6.28,119.06,338.53,25.19,33.77,55.3,38.56,69.94
2019-01-10,1656.22,84.69,346.68,66.78,3.97,60.29,33.74,158.72,37.89,12.32,272.18,59.12,8.47,98.97,73.0,35.91,49.27,8.97,254.58,196.0,144.43,157.12,82.2,6.22,118.29,344.97,25.34,33.42,55.84,38.58,69.59
2019-01-11,1640.56,84.65,346.97,66.28,3.88,60.56,33.66,160.07,37.91,12.34,272.4,58.42,8.53,99.0,73.41,36.01,49.47,9.13,252.99,195.97,141.44,156.72,82.25,6.28,118.75,347.26,25.36,32.33,56.24,38.8,69.27
2019-01-14,1617.21,84.2,344.47,65.6,3.6,60.08,33.48,160.77,37.17,12.37,272.19,57.03,8.61,99.02,71.91,34.67,48.51,9.22,256.85,194.93,142.09,158.04,82.25,6.31,118.31,334.4,25.36,32.46,56.25,36.89,69.18
2019-01-15,1674.56,79.41,346.32,67.01,3.64,60.68,33.67,159.42,37.59,12.35,270.7,56.82,8.74,99.03,73.02,33.99,49.15,9.26,255.84,200.17,142.23,157.67,82.28,6.54,117.88,344.43,25.45,31.0,56.32,36.52,69.22
