,Weight
AMZN,0.015277487567838827
ARCH,0.02585308743719028
BA,0.025513238980854797
BAX,0.027111217821846428
CELH,0.008211780432567829
CL,0.015448304056377878
FMS,0.012192602782987135
GD,0.001750906860995568
GSK,0.05086113400344791
IAU,0.1041604641051764
LMT,0.0020207263972797417
LVMUY,0.014270304060703988
MDR,0.0003292602999292681
MINT,0.1624572526167563
MRK,0.04985529159068934
MU,0.0019320411240101316
NGG,0.014415553233876045
NLY,0.00402859342993539
NOC,0.02934537289994354
PANW,0.03254404521651104
PXD,0.0012694756104683232
RTN,0.018818960911425046
SHY,0.22842060180528606
SNAP,0.001514138811920166
TLT,0.06404753098036162
TSLA,0.0011056674215730172
UUP,0.014227735129534574
VIXY,0.0028000752743295074
VZ,0.049096156466778715
WDC,0.002291713983504539
XOM,0.018830133092801567
